City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Montes Altos,BR,2021-01-27 21:52:38,-5.8333,-47.0667,74.03,93,100,5.01
97,Bredasdorp,ZA,2021-01-27 21:52:39,-34.5322,20.0403,57.2,72,94,5.75
98,Upernavik,GL,2021-01-27 21:47:54,72.7868,-56.1549,-2.4,91,99,3.09
99,Mragowo,PL,2021-01-27 21:52:40,53.8644,21.3051,32.0,74,90,2.3
100,Airai,TL,2021-01-27 21:52:40,-8.9266,125.4092,62.42,100,100,3.44
101,Fortuna,US,2021-01-27 21:52:41,40.5982,-124.1573,48.2,81,75,23.02
102,Mulbagal,IN,2021-01-27 21:52:41,13.1667,78.4,58.24,98,46,3.58
103,Peterhead,GB,2021-01-27 21:52:41,57.5058,-1.7981,37.99,93,90,1.14
104,Isiro,CD,2021-01-27 21:52:41,2.7739,27.616,68.07,81,31,2.08
105,The Valley,AI,2021-01-27 21:52:43,18.217,-63.0578,80.6,69,40,14.97
106,Punta Arenas,CL,2021-01-27 21:52:43,-53.15,-70.9167,50.0,53,75,26.46
107,Kroya,ID,2021-01-27 21:52:43,-7.6331,109.2461,76.32,84,97,3.56
108,Uray,RU,2021-01-27 21:52:43,60.1247,64.7758,14.86,97,100,6.76
109,Bilibino,RU,2021-01-27 21:52:44,68.0546,166.4372,-10.82,83,100,6.29
110,Guerrero Negro,MX,2021-01-27 21:52:44,27.9769,-114.0611,64.15,37,100,8.97
111,Maarianhamina,AX,2021-01-27 21:49:01,60.0973,19.9348,26.6,80,75,4.61
112,Loiza,PR,2021-01-27 21:52:44,18.4313,-65.8802,80.6,69,40,12.66
113,Cabatuan,PH,2021-01-27 21:52:45,10.8794,122.486,75.06,87,100,9.31
114,Geraldton,AU,2021-01-27 21:52:46,-28.7667,114.6,59.0,82,0,10.36
115,Alappuzha,IN,2021-01-27 21:52:46,9.49,76.3264,73.15,82,91,6.26
116,Kodiak,US,2021-01-27 21:52:47,57.79,-152.4072,33.8,75,90,1.68
117,Emirdag,TR,2021-01-27 21:52:47,39.0197,31.15,30.0,90,72,16.17
118,Byron Bay,AU,2021-01-27 21:52:47,-28.65,153.6167,77.0,73,40,10.36
119,Laguna,US,2021-01-27 21:52:01,38.421,-121.4238,50.0,81,90,14.97
120,Nouadhibou,MR,2021-01-27 21:52:48,20.931,-17.0347,68.0,77,0,10.36
121,Praia,CV,2021-01-27 21:52:48,14.9215,-23.5087,73.4,60,0,14.97
122,Lagoa,PT,2021-01-27 21:52:48,39.05,-27.9833,60.42,83,73,30.09
123,Pevek,RU,2021-01-27 21:52:48,69.7008,170.3133,-23.35,87,100,3.4
124,Uyuni,BO,2021-01-27 21:52:48,-20.4597,-66.825,58.59,29,0,12.46
125,Saint George,US,2021-01-27 21:52:40,37.1041,-113.5841,43.0,49,90,16.11
126,Saldanha,ZA,2021-01-27 21:52:49,-33.0117,17.9442,62.6,67,0,14.97
127,Salina,US,2021-01-27 21:50:01,38.8403,-97.6114,24.01,74,40,6.91
128,Castro,BR,2021-01-27 21:52:49,-24.7911,-50.0119,68.61,90,100,5.82
129,Doka,SD,2021-01-27 21:52:50,13.5167,35.7667,78.42,28,0,11.81
130,Arraial Do Cabo,BR,2021-01-27 21:52:50,-22.9661,-42.0278,80.6,73,0,21.85
131,Erzin,TR,2021-01-27 21:52:50,36.9559,36.2,61.0,72,100,18.99
132,Bellmead,US,2021-01-27 21:52:50,31.594,-97.1089,55.4,41,1,13.8
133,Faanui,PF,2021-01-27 21:52:51,-16.4833,-151.75,81.19,74,1,13.76
134,Moindou,NC,2021-01-27 21:52:51,-21.6924,165.677,80.6,69,0,1.14
135,Pemberton,CA,2021-01-27 21:52:51,50.3164,-122.8027,34.0,74,90,3.44
136,Goderich,CA,2021-01-27 21:52:51,43.7501,-81.7165,23.0,80,100,8.05
137,Road Town,VG,2021-01-27 21:52:52,18.4167,-64.6167,80.6,69,75,12.66
138,Iqaluit,CA,2021-01-27 21:52:52,63.7506,-68.5145,-4.0,71,1,16.11
139,Narsaq,GL,2021-01-27 21:52:52,60.9167,-46.05,37.4,32,75,34.52
140,Kahului,US,2021-01-27 21:52:52,20.8947,-156.47,78.8,65,40,25.32
141,Kathu,TH,2021-01-27 21:52:52,7.9178,98.3332,84.99,94,20,11.41
142,Belle Fourche,US,2021-01-27 21:52:53,44.6714,-103.8522,28.99,59,1,8.05
143,Kununurra,AU,2021-01-27 21:52:53,-15.7667,128.7333,77.0,100,75,6.91
144,Lincoln Village,US,2021-01-27 21:52:53,39.9548,-83.1307,32.0,80,1,14.97
145,Senneterre,CA,2021-01-27 21:52:53,48.3835,-77.2328,10.4,85,90,8.05
146,Dudinka,RU,2021-01-27 21:52:54,69.4058,86.1778,-28.77,83,98,1.95
147,Badarpur,IN,2021-01-27 21:52:54,24.9,92.6,56.44,73,0,2.55
148,Dhidhdhoo,MV,2021-01-27 21:51:32,6.8833,73.1,80.91,68,66,10.2
149,Qaqortoq,GL,2021-01-27 21:52:57,60.7167,-46.0333,37.4,32,75,34.52
150,Severo-Kurilsk,RU,2021-01-27 21:52:57,50.6789,156.125,26.85,96,100,15.57
151,Klaksvik,FO,2021-01-27 21:52:58,62.2266,-6.589,32.0,69,63,5.75
152,Beachwood,US,2021-01-27 21:52:58,41.4645,-81.5087,28.99,80,90,6.91
153,Ukiah,US,2021-01-27 21:52:58,39.1502,-123.2078,53.6,66,90,11.5
154,Talnakh,RU,2021-01-27 21:52:58,69.4865,88.3972,-25.28,82,86,4.09
155,Sindor,RU,2021-01-27 21:51:04,62.8629,51.8905,27.59,98,99,9.13
156,Jeremie,HT,2021-01-27 21:50:09,18.65,-74.1167,79.52,64,18,5.28
157,Ust-Omchug,RU,2021-01-27 21:53:00,61.15,149.6333,-31.56,78,35,5.44
158,Murgab,TM,2021-01-27 21:53:00,37.4966,61.9714,32.0,74,0,9.48
159,Salalah,OM,2021-01-27 21:53:00,17.0151,54.0924,68.0,68,0,3.44
160,Wahiawa,US,2021-01-27 21:53:01,21.5028,-158.0236,82.4,54,40,9.22
161,Thompson,CA,2021-01-27 21:51:31,55.7435,-97.8558,-11.2,77,40,3.44
162,Secunda,ZA,2021-01-27 21:53:01,-26.55,29.1667,64.99,95,98,7.76
163,Kizema,RU,2021-01-27 21:53:02,61.113,44.8302,27.64,97,93,9.26
164,Visby,SE,2021-01-27 21:48:03,57.6409,18.296,28.4,93,90,3.44
165,Kattivakkam,IN,2021-01-27 21:53:03,13.2167,80.3167,73.4,88,40,2.3
166,Marinette,US,2021-01-27 21:53:03,45.1,-87.6307,24.8,46,1,6.91
167,Lalitpur,NP,2021-01-27 21:52:43,27.6667,85.3333,41.0,87,20,3.44
168,Tuatapere,NZ,2021-01-27 21:53:04,-46.1333,167.6833,52.0,82,100,17.0
