City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Barinas,VE,8.6226,-70.2075,78.66,54,93,2.8,overcast clouds
123,Marawi,PH,7.9986,124.2928,80.01,80,76,3.0,broken clouds
124,Laguna,US,38.421,-121.4238,57.99,51,1,4.88,clear sky
125,Jackson,US,42.4165,-122.8345,55.4,41,90,21.85,overcast clouds
126,Buraydah,SA,26.326,43.975,50.0,66,0,5.75,clear sky
127,Thompson,CA,55.7435,-97.8558,14.0,92,90,2.3,light snow
128,Kropotkin,RU,45.4375,40.5756,35.74,87,100,8.81,overcast clouds
129,Palana,RU,59.1167,159.9667,-4.58,91,81,27.22,broken clouds
130,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,8.05,scattered clouds
131,Rjukan,NO,59.8789,8.5941,8.01,85,40,8.79,scattered clouds
132,Avera,US,33.194,-82.5271,48.2,46,1,5.75,clear sky
133,Gainesville,US,29.6516,-82.3248,57.2,67,40,4.92,scattered clouds
134,Grindavik,IS,63.8424,-22.4338,21.2,73,0,6.91,clear sky
135,Port Alfred,ZA,-33.5906,26.891,63.0,92,0,1.77,clear sky
136,Geraldton,AU,-28.7667,114.6,95.0,23,0,19.57,clear sky
137,Prince George,CA,53.9166,-122.753,24.8,80,90,10.36,overcast clouds
138,Khatanga,RU,71.9667,102.5,-46.95,78,39,1.3,scattered clouds
139,Saint Anthony,US,45.0205,-93.218,32.0,74,90,9.22,light snow
140,Aleksandrov Gay,RU,50.147,48.5704,21.16,95,10,9.1,clear sky
141,Dno,RU,57.8277,29.9637,18.7,97,79,4.16,broken clouds
142,Port Lincoln,AU,-34.7333,135.8667,66.67,63,7,14.32,clear sky
143,Kichera,RU,55.9375,110.0997,-20.45,70,16,5.93,few clouds
144,Ambovombe,MG,-25.1667,46.0833,77.22,78,0,5.39,clear sky
145,Mansehra,PK,34.3333,73.2,40.44,57,0,5.26,clear sky
146,Portland,US,45.5234,-122.6762,48.99,81,90,13.8,overcast clouds
147,Pouebo,NC,-20.4,164.5667,82.87,56,7,11.77,clear sky
148,Kyrylivka,UA,46.3759,35.3675,41.83,90,100,6.26,overcast clouds
149,Huangyan,CN,28.6478,121.2594,55.0,87,100,1.28,overcast clouds
150,Yulara,AU,-25.2406,130.9889,87.8,23,79,18.41,broken clouds
151,Mehamn,NO,71.0357,27.8492,26.6,80,0,8.05,light snow
152,Nurobod,UZ,40.9056,69.8023,46.4,49,0,6.91,clear sky
153,Sayyan,YE,15.1718,44.3244,46.44,49,7,4.32,clear sky
154,Ahipara,NZ,-35.1667,173.1667,72.28,49,0,5.99,clear sky
155,Kampong Thum,KH,12.7111,104.8887,74.1,63,0,9.78,clear sky
156,Biskamzha,RU,53.4497,89.5272,-9.09,86,84,2.8,broken clouds
157,Iralaya,HN,15.0,-83.2333,78.8,82,40,9.15,scattered clouds
158,Broken Hill,AU,-31.95,141.4333,77.0,38,8,13.8,clear sky
159,Kaeo,NZ,-35.1,173.7833,72.0,60,0,5.01,clear sky
160,Kaitangata,NZ,-46.2817,169.8464,61.0,80,100,15.01,overcast clouds
161,Vagay,RU,57.9375,69.0217,13.37,96,100,8.1,overcast clouds
162,Jumla,NP,29.2747,82.1838,29.57,56,0,3.62,clear sky
163,Pevek,RU,69.7008,170.3133,-33.25,84,9,2.08,clear sky
164,Kanungu,UG,-0.9575,29.7897,61.68,77,100,3.22,overcast clouds
165,Hadejia,NG,12.4498,10.0444,66.43,25,0,9.95,clear sky
166,Lensk,RU,60.7253,114.9278,-32.66,80,100,5.77,overcast clouds
